medicine_id,medicine_name,category,brand,generic_name,manufacturer,dosage_form,strength,unit_price,cost_price,profit_margin_pct
MED001,Paracure 1,Pain Relief,MediCure,Paracetamol,Sunwell Pharma,Tablet,5 mg,401.19,223.55,44.28
MED002,Ibuplus 2,Antibiotic,Healix,Ibuprofen,ZenBio Labs,Capsule,10 mg,556.59,273.21,50.91
MED003,Cefizen 3,Diabetes,NovaMed,Cefixime,Apex Remedies,Syrup,20 mg,272.07,151.85,44.19
MED004,Amorid 4,Cardiac,LifeDrop,Amoxicillin,Metro Health,Injection,50 mg,652.23,343.12,47.39
MED005,Aziair 5,Gastro,PulseRx,Azithromycin,Careline Drugs,Inhaler,100 mg,780.53,389.45,50.10
MED006,Glusure 6,Allergy,Digesta,Metformin,PrimeCrest,Tablet,250 mg,582.18,358.73,38.38
MED007,Cardaid 7,Vitamins,Airleaf,Insulin Glargine,Wellspring Labs,Capsule,500 mg,565.13,305.15,46.00
MED008,Omefast 8,Respiratory,NutriZen,Atorvastatin,NorthStar Pharma,Syrup,100 ml,119.56,68.79,42.46
MED009,Pantosafe 9,Hormonal,MediCure,Amlodipine,Sunwell Pharma,Injection,5 mg,234.14,171.45,26.77
MED010,Cetimax 10,Neurology,Healix,Omeprazole,ZenBio Labs,Inhaler,10 mg,291.52,190.48,34.66
MED011,Monttide 11,Pain Relief,NovaMed,Pantoprazole,Apex Remedies,Tablet,20 mg,463.19,245.38,47.02
MED012,Vitawell 12,Antibiotic,LifeDrop,Cetirizine,Metro Health,Capsule,50 mg,296.20,142.12,52.02
MED013,B12calm 13,Diabetes,PulseRx,Montelukast,Careline Drugs,Syrup,100 mg,522.43,362.70,30.57
MED014,Coughflow 14,Cardiac,Digesta,Multivitamin,PrimeCrest,Injection,250 mg,351.64,175.33,50.14
MED015,Bronmed 15,Gastro,Airleaf,Methylcobalamin,Wellspring Labs,Inhaler,500 mg,589.76,378.72,35.78
MED016,Zinnil 16,Allergy,NutriZen,Dextromethorphan,NorthStar Pharma,Tablet,100 ml,57.92,30.37,47.57
MED017,Thyrocare 17,Vitamins,MediCure,Salbutamol,Sunwell Pharma,Capsule,5 mg,439.95,292.68,33.47
MED018,Neurorise 18,Respiratory,Healix,Levothyroxine,ZenBio Labs,Syrup,10 mg,601.35,377.34,37.25
MED019,Calvita 19,Hormonal,NovaMed,Pregabalin,Apex Remedies,Injection,20 mg,575.39,377.55,34.38
MED020,Levboost 20,Neurology,LifeDrop,Calcium Carbonate,Metro Health,Inhaler,50 mg,146.16,96.58,33.92
MED021,Paracure 21,Pain Relief,PulseRx,Paracetamol,Careline Drugs,Tablet,100 mg,185.88,101.41,45.44
MED022,Ibuplus 22,Antibiotic,Digesta,Ibuprofen,PrimeCrest,Capsule,250 mg,164.81,87.56,46.87
MED023,Cefizen 23,Diabetes,Airleaf,Cefixime,Wellspring Labs,Syrup,500 mg,480.01,276.94,42.31
